CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
9524393,2022,2022-12-28,5608,2022-11-23,1356,552,,3,5,6,5608,0,0,0,,0,001,"CHESTNUT ST","SANTA CLARA ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,VENTURA,VENTURA,-119.29154968261719,34.279541015625
9697139,2024,2024-07-03,5608,2024-03-24,1743,506,,7,5,6,5608,0,0,0,,0,001,"W MAIN ST","PEKING ST",2000.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,A,B,A,A,H,-,A,A,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",,,VENTURA,VENTURA,-119.31255340576172,34.282478332519531
9744632,2024,2024-10-18,5604,2024-08-15,1323,5504,,4,5,6,5604,0,0,0,,0,023,"5TH ST",META,80.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,05,21202,A,N,D,B,F,A,H,-,A,D,0,Y,Y,,,Y,,L,04,0,1,0,0,1,0,0,0,0,"- ","- ",34.197658538818359,-119.17594909667969,VENTURA,OXNARD,-119.17623138427734,34.197658538818359
9765981,2025,2025-02-21,5604,2025-02-05,"810 ",5637,,3,5,6,5604,0,0,0,,0,032,"COMMERCIAL AV","E WOOLEY RD",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,D,B,H,-,A,A,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",34.189960479736328,-119.17105865478516,VENTURA,OXNARD,-119.17108154296875,34.189975738525391
9106241,2020,2020-08-06,5604,2020-04-23,1212,5583,,4,5,6,5604,0,0,0,,0,024,"S VENTURA RD","E BAY BL E",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",34.178230285644531,-119.19496917724609,VENTURA,OXNARD,-119.19509124755859,34.178230285644531
9298104,2021,2021-09-07,5605,2021-07-26,0919,220,PATRO,1,5,3,5605,0,0,0,,0,002,"CHANNEL ISLANDS BL","PATTERSON RD N",0.00,,Y,B,-,N,,,,,,,,,,,3,0,1,2,A,-,05,21650,,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",34.176109313964844,-119.20835113525391,VENTURA,"PORT HUENEME",-119.20841979980469,34.175727844238281
9605142,2023,2024-02-21,5608,2023-12-07,"742 ",561,,4,5,6,5608,0,0,0,,0,001,"EAST THOMPSON BL","S OAK ST",21.00,E,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,00,21451,,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,07,0,0,1,0,1,0,0,0,0,"- ","- ",,,VENTURA,VENTURA,-119.29459381103516,34.278251647949219
9643376,2023,2023-12-04,5604,2023-10-20,1526,5623,,5,5,6,5604,0,0,0,,0,012,"E GONZALES RD","N ROSE AV",175.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,C,A,H,-,A,D,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,VENTURA,OXNARD,-119.15901184082031,34.218997955322266
9784190,2024,2025-02-19,5604,2024-12-28,1815,5696,,6,5,6,5604,0,0,0,,0,031,"ROSE AV","EASTMAN AV",30.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,05,21650,,N,B,G,A,A,H,-,C,D,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",34.198291778564453,-119.15975952148438,VENTURA,OXNARD,-119.15988159179688,34.198383331298828
81878428,2022,2022-09-30,5600,2022-08-03,1221,5297,8132,3,5,5,5601,0,0,0,,0,8C01,"ADOLFO ROAD","LEWIS ROAD",0.00,,Y,A,-,Y,VEN,,34,,,14.955,H,,R,N,3,0,1,2,A,-,08,22107,,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",34.231288909912109,-119.01944732666016,VENTURA,CAMARILLO,-119.01942443847656,34.231269836425781
92256135,2023,2023-12-07,9770,2023-07-09,"255 ",023147,,7,3,9,5600,0,2,4,,1,086,"TIERRA REJADA ROAD","ELECTRICAL POLE #4476903E",172.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,D,-,00,,,F,G,B,E,A,H,-,D,D,0,Y,,,,Y,,-,"- ",1,0,0,0,1,0,0,0,0,"- ","- ",34.269748687744141,-118.83203887939453,VENTURA,UNINCORPORATED,,
94819918,2025,2025-08-27,9765,2025-08-18,1855,019988,,1,2,9,5600,0,1,3,,1,022,SR-150,"LA LUNA AVENUE",0.00,,Y,A,-,Y,VEN,,150," ",R,14.301,H,,R,N,4,0,1,2,A,-,05,21650,,N,A,G,A,A,H,-,B,A,0,,Y,,,Y,,-,"- ",0,0,1,0,0,0,1,0,0,"- ","- ",34.430278778076172,-119.29013824462891,VENTURA,UNINCORPORATED,-119.29014587402344,34.430145263671875
9324834,2021,2021-10-18,5608,2021-09-08,1220,535,,3,5,6,5608,0,0,0,,0,001,"POLI ST","LAUREL ST",73.00,E,N,B,-,N,,,,,,,,,,Y,3,0,1,2,A,-,09,21801,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,A,07,0,1,0,0,0,0,1,0,0,"- ","- ",,,VENTURA,VENTURA,-119.28522491455078,34.282161712646484
