CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
9697139,1,1,Y,M,54,A,-,S,M,G,Y,-,-,-,-,"- ",,,E,-,0,0,E,2016,-,D,22,,W,,-,-,2024
9697139,2,5,N,M,998,G,G,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,M,93,,W,,-,-,2024
9521927,1,1,Y,F,71,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,2010,-,A,01,,H,,-,-,2022
9521927,2,2,N,M,78,A,-,-,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,H,,-,-,2022
9521906,1,1,Y,-,998,G,G,S,-,-,,-,3,-,-,"- ",,,N,-,0,0,B,,-,-,,,,,-,-,2022
9521906,2,4,N,M,12,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2022
9725370,1,4,Y,M,32,G,G,S,-,-,,-,-,E,,24,22450,A,A,-,0,1,B,,-,L,04,,W,,-,-,2024
9725370,2,1,N,M,24,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2023,-,D,22,,W,,-,-,2024
9561503,1,1,Y,M,19,A,-,E,M,B,,-,3,-,-,"- ",,,N,-,0,0,E,2019,-,A,01,,W,,-,-,2022
9561503,2,2,N,M,44,A,-,N,-,-,O,-,1,-,-,"- ",,,N,-,0,1,R,,-,N,60,,H,,-,-,2022
9542005,1,2,Y,M,57,G,G,-,P,-,O,-,-,-,-,"- ",,,N,-,0,1,L,2000,-,N,60,,H,,-,-,2022
9542005,2,1,N,M,57,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2009,-,A,01,,H,,-,-,2022
9324834,1,1,Y,F,63,A,-,N,M,G,Y,-,-,-,-,"- ",,,J,-,0,0,E,2021,-,A,07,,W,,-,-,2021
9324834,2,4,N,M,77,A,-,W,-,-,,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,O,,-,-,2021
94819918,1,1,N,M,60,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,2019,SUBA,A,01,,H,,-,-,2025
94819918,2,4,N,M,20,A,-,E,-,P,O,-,3,-,-,"- ",,,N,-,0,1,B,,TREK,L,04,,W,,-,-,2025
92256135,1,1,N,F,41,G,G,E,B,G,Y,-,4,-,-,"- ",,,N,-,0,0,B,2022,LEXS,A,01,,H,,-,-,2023
92256135,2,2,N,M,26,G,G,-,-,-,O,-,4,-,-,"- ",,,N,-,0,1,-,,-,N,60,,B,,-,-,2023
9784190,1,4,Y,M,24,A,-,W,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2024
9784190,2,1,N,F,52,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,H,2003,-,A,01,,H,,-,-,2024
9643376,1,1,Y,F,67,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,2010,-,A,01,,H,,-,-,2023
9643376,2,2,N,F,48,A,-,-,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2023
9605142,1,1,Y,M,18,A,-,E,M,G,Y,-,-,E,,47,12500,A,A,N,0,0,E,2008,-,A,07,,H,,-,-,2023
9605142,2,2,N,F,23,A,-,N,-,-,O,-,-,E,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2023
9298104,1,4,Y,M,20,A,-,E,-,-,N,-,3,-,-,"- ",,,A,K,0,1,B,,-,L,04,,W,,-,-,2021
9298104,2,1,N,M,74,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,2000,FORD,D,22,,W,,-,-,2021
9524395,1,2,Y,M,47,G,G,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,L,,-,N,60,,B,,-,-,2022
9524395,2,1,N,F,68,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2008,-,A,01,,W,,-,-,2022
9106241,1,1,Y,M,53,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,1999,-,A,01,,H,,-,-,2020
9106241,2,4,N,M,49,A,-,E,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2020
9765981,1,1,Y,M,61,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2017,-,A,01,,H,,-,-,2025
9765981,2,2,N,F,44,A,-,-,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,H,,-,-,2025
9744632,1,4,Y,M,36,A,-,W,-,-,,-,3,-,-,"- ",,,N,-,0,0,B,,-,L,04,,H,,-,-,2024
9744632,2,2,N,F,35,A,-,-,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,H,,-,-,2024
9524393,1,1,Y,F,74,A,-,S,M,G,Y,-,3,-,-,"- ",,,E,-,0,0,E,2015,-,A,01,,W,,-,-,2022
9524393,2,2,N,F,22,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2022
9765228,1,2,Y,M,34,B,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,H,,-,-,2024
9765228,2,1,N,F,19,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2007,-,A,01,,H,,-,-,2024
9651008,1,4,Y,M,44,B,-,N,-,-,,-,3,-,,27,21650,1,A,-,0,1,Q,,-,L,04,,H,,-,-,2022
