CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
9524393,2,1,3,F,27,7,-,-,-,-,VENTURA,VENTURA,2022
9697139,2,1,5,M,998,6,-,-,-,-,VENTURA,VENTURA,2024
9744632,2,1,3,F,35,3,-,P,-,0,VENTURA,OXNARD,2024
9765981,2,1,3,F,44,4,-,P,-,0,VENTURA,OXNARD,2025
9106241,2,1,4,M,49,3,-,P,V,0,VENTURA,OXNARD,2020
9298104,1,1,4,M,20,3,1,-,P,0,VENTURA,"PORT HUENEME",2021
9605142,1,1,2,F,15,0,3,M,G,-,VENTURA,VENTURA,2023
9605142,2,1,3,F,23,7,-,-,-,-,VENTURA,VENTURA,2023
9643376,2,1,3,F,49,4,-,P,-,0,VENTURA,OXNARD,2023
9784190,1,1,4,M,24,4,-,P,-,1,VENTURA,OXNARD,2024
81878428,1,1,4,-,23,6,1,-,V,0,VENTURA,CAMARILLO,2022
92256135,2,1,3,M,26,5,0,P,P,0,VENTURA,UNINCORPORATED,2023
94819918,2,1,4,M,20,7,0,P,P,1,VENTURA,UNINCORPORATED,2025
9324834,2,1,4,M,77,3,-,-,-,-,VENTURA,VENTURA,2021
9542005,1,1,3,M,57,2,-,P,-,0,VENTURA,OXNARD,2022
9542005,2,1,1,M,57,3,1,M,G,0,VENTURA,OXNARD,2022
9561503,1,1,2,F,13,0,3,M,B,0,VENTURA,"SANTA PAULA",2022
9561503,2,1,3,M,44,3,-,-,-,-,VENTURA,"SANTA PAULA",2022
9725370,1,1,4,M,32,5,1,P,W,1,VENTURA,VENTURA,2024
9751281,1,1,4,M,35,1,-,P,V,0,VENTURA,OXNARD,2024
9763432,2,1,3,F,31,4,-,P,-,0,VENTURA,OXNARD,2024
9896942,1,1,4,-,57,6,-,-,-,-,VENTURA,VENTURA,2025
9896942,2,1,3,-,57,7,-,-,-,-,VENTURA,VENTURA,2025
9342176,2,1,3,F,54,4,-,-,A,-,VENTURA,"SANTA PAULA",2021
9510786,2,1,3,F,68,6,-,-,-,-,VENTURA,VENTURA,2022
9510786,3,1,3,F,20,6,-,-,-,-,VENTURA,VENTURA,2022
9521906,2,1,4,M,12,3,1,P,V,0,VENTURA,OXNARD,2022
9521927,2,1,3,M,78,4,-,P,-,0,VENTURA,OXNARD,2022
9651008,1,1,4,-,44,7,-,-,-,-,VENTURA,"SANTA PAULA",2022
9765228,1,1,3,M,34,7,-,-,P,-,VENTURA,"PORT HUENEME",2024
81637726,2,1,4,-,46,6,9,-,-,0,VENTURA,"THOUSAND OAKS",2021
83767577,2,1,3,M,66,5,9,-,P,-,VENTURA,CAMARILLO,2024
83767577,3,1,3,M,31,7,9,-,P,-,VENTURA,CAMARILLO,2024
84403198,1,1,3,M,21,6,9,-,P,-,VENTURA,CAMARILLO,2024
92195615,1,1,4,M,71,5,0,P,X,1,VENTURA,UNINCORPORATED,2023
9016771,1,1,2,F,19,0,9,-,-,3,VENTURA,VENTURA,2020
